codanum,focal,whale,codatype,Duration,handv
5169,True,ATWOOD,6i,0.4052417,a
5170,True,ATWOOD,5R1,0.344225,a
5171,True,ATWOOD,5R1,0.3446167,a
5172,True,ATWOOD,5R1,0.3394666,a
5173,True,ATWOOD,5R1,0.3693083,a
5174,True,ATWOOD,5R1,0.3288833,a
5175,True,ATWOOD,5R1,0.3096166,a
5190,True,ATWOOD,5R1,0.320125,a
5191,True,ATWOOD,5R1,0.3312833,a
5192,True,ATWOOD,5R1,0.3480166,a
5193,True,ATWOOD,5R1,0.3535834,a
5194,True,ATWOOD,10i,0.3961917,a
5195,True,ATWOOD,9i,0.3763084,a
5196,True,ATWOOD,1+1+3,1.3729583,a
5197,True,ATWOOD,1+1+3,1.4024953,a
5198,True,ATWOOD,1+1+3,1.363775,a
5199,True,ATWOOD,1+1+3,1.3564583,a
5200,True,ATWOOD,1+1+3,1.4225333,a
5201,True,ATWOOD,1+1+3,1.388025,a
5202,True,ATWOOD,1+1+3,1.348075,a
5203,True,ATWOOD,1+1+3,1.0961584,
5204,True,ATWOOD,1+1+3,1.13985,a
5205,True,ATWOOD,1+1+3,1.08535,a
5206,True,ATWOOD,1+1+3,1.0805916,a
5207,True,ATWOOD,6-NOISE,1.1322833,a
5208,True,ATWOOD,1+1+3,1.1832417,a
5209,True,ATWOOD,1+1+3,1.1988167,a
5210,True,ATWOOD,1+1+3,1.167475,a
5212,True,ATWOOD,1+1+3,0.872275,a
5233,True,ATWOOD,1+1+3,1.33315,a
5234,True,ATWOOD,1+1+3,1.3010083,a
5235,True,ATWOOD,1+1+3,1.2425167,a
5236,True,ATWOOD,1+1+3,1.2543334,a
5237,True,ATWOOD,1+1+3,1.2430583,a
5238,True,ATWOOD,1+1+3,1.2504167,a
5239,True,ATWOOD,1+1+3,1.1967584,a
5240,True,ATWOOD,1+1+3,1.1905666,a
5249,True,ATWOOD,7D2,1.5930834,i
5250,True,ATWOOD,8D,1.7966583,i
5256,True,ATWOOD,1+1+3,1.0424417,i
5257,True,ATWOOD,1+1+3,1.0851666,i
5258,True,ATWOOD,1+1+3,1.0513833,i
5259,True,ATWOOD,9-NOISE,1.3467667,i
5260,True,ATWOOD,1+1+3,1.02805,
5261,True,ATWOOD,1+1+3,1.1416667,i
5262,True,ATWOOD,1+1+3,1.067875,i
5263,True,ATWOOD,1+1+3,1.0001916,i
5264,True,ATWOOD,1+1+3,0.9890667,i
5265,True,ATWOOD,1+1+3,0.9768084,i
5266,True,ATWOOD,1+1+3,0.98795,i
5267,True,ATWOOD,1+1+3,0.989875,i
5268,True,ATWOOD,1+1+3,1.0174917,i
5269,True,ATWOOD,1+1+3,1.0194829,i
5270,True,ATWOOD,1+1+3,1.0295,i
5271,True,ATWOOD,1+1+3,1.0022666,i
5272,True,ATWOOD,1+1+3,0.9863833,i
5273,True,ATWOOD,6-NOISE,1.104425,i
5274,True,ATWOOD,6-NOISE,1.189125,i
5275,True,ATWOOD,6-NOISE,1.1713916,i
5283,True,ATWOOD,6-NOISE,1.0057167,i
5284,True,ATWOOD,1+1+3,0.8137333,i
5285,True,ATWOOD,1+1+3,0.8048833,i
5286,True,ATWOOD,1+1+3,0.806575,i
5374,True,ATWOOD,1+1+3,0.9815432,i
5375,True,ATWOOD,1+1+3,0.9749583,i
5376,True,ATWOOD,1+1+3,0.9544916,i
5377,True,ATWOOD,1+1+3,0.926875,i
5387,True,ATWOOD,1+1+3,1.0260833,i
5388,True,ATWOOD,1+1+3,1.0279584,i
5389,True,ATWOOD,1+1+3,1.0542667,i
5397,True,ATWOOD,1+1+3,0.8390417,i
5398,True,ATWOOD,6-NOISE,0.9022667,i
5399,True,ATWOOD,5-NOISE,0.7851834,i
5400,True,ATWOOD,5-NOISE,0.7542584,i
5401,True,ATWOOD,1+1+3,0.76985,i
5402,True,ATWOOD,1+1+3,0.7580584,i
5403,True,ATWOOD,1+1+3,0.775775,i
